position,name,category,tvg_id,enabled,url
1,WCBS-TV 2.1 (720p),Local NYC,WCBSTV21.us@HD,1,http://206.212.244.63/32/index.m3u8
2,WNBC-DT1 (1080p),Local NYC,WNBC471.us@HD,1,https://d368vp0qqzvkid.cloudfront.net/11603/88889709/hls/master.m3u8?ads.xumo_channelId=88889709a&ads.xumo_ifaType=&ads.xumo_providerId=3816&ads.xumo_providerName=NBCNNY
3,WNYW-DT1 (1080p),Local NYC,WNYW51.us@HD,1,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00488-foxdigital-wnyw-lgus/playlist.m3u8
4,WWOR-DT1,Local NYC,WWORTV91.us@HD,1,http://37c18028.akadatel.com/iptv/T6XNCP6L7LLKPD/1088/mpegts
5,WMBC-DT1 (720p),Local NYC,WMBCTV631.us@HD,1,http://d029dcec.kazmazpaz.ru/iptv/GVR4V8HYAGBS5V/1098/manifest.m3u8
6,ABC (720p),Broadcast,ABC.us@East,1,http://41.205.93.154/ABC/index.m3u8
7,CBS (1080p),Broadcast,CBS.us@East,1,http://stream.cammonitorplus.net/1783/index.m3u8
8,NBC (1080p),Broadcast,NBC.us@East,1,http://stream.cammonitorplus.net/1785/index.m3u8
9,Fox (720p),Broadcast,Fox.us@East,1,http://stream.cammonitorplus.net/1752/index.m3u8
10,CW (720p),Broadcast,CW.us@East,1,https://gpuserver3.tier1streams.com/CW/index.m3u8
11,ION (1080p) [Geo-blocked],Broadcast,IONTV.us@East,1,https://pb-xhb3ic8b61whm.akamaized.net/Ion_US.m3u8
12,MeTV (720p),Broadcast,MeTV.us@SD,1,http://40.160.24.53/METV/index.m3u8
13,MeTV+ (720p),Broadcast,MeTVPlus.us@SD,1,http://206.212.244.63/111/index.m3u8
14,Antenna TV (576p),Broadcast,AntennaTV.us@SD,1,https://gpuserver3.tier1streams.com/ANTENNA_TV/index.m3u8
15,Cozi TV (1080p),Broadcast,CoziTV.us@SD,1,https://gpuserver3.tier1streams.com/COZI_TV/index.m3u8
16,Localish (1080p),Broadcast,Localish.us@SD,1,https://dnmfq3sh1jipj.cloudfront.net/DisneyLocalish.m3u8
17,Start TV (720p),Broadcast,StartTV.us@SD,1,http://40.160.24.55/START_TV/index.m3u8
18,Buzzr (1080p),Broadcast,Buzzr.us@SD,1,http://23.237.104.106:8080/USA_BUZZR/index.m3u8
19,Movies! (480p),Broadcast,Movies.us@SD,1,https://bozztv.com/dvrfl03/hdirect/hdirect-ovair1-movies!/index.m3u8
20,Bounce (1080p),Broadcast,Bounce.us@SD,1,http://40.160.24.58/BOUNCE_TV/index.m3u8
21,Comet (1080p),Broadcast,Comet.us@SD,1,https://fast-channels.sinclairstoryline.com/COMET/index.m3u8
22,Charge! (1080p),Broadcast,Charge.us@SD,1,https://fast-channels.sinclairstoryline.com/CHARGE/index.m3u8
23,Laff (1080p),Broadcast,Laff.us@SD,1,http://40.160.24.53/LAFF_TV/index.m3u8
24,Grit (1080p),Broadcast,Grit.us@SD,1,https://gpuserver3.tier1streams.com/GRIT/index.m3u8
25,FETV (720p),Broadcast,FETV.us@SD,1,http://206.212.244.63/60/index.m3u8
26,Roar (1080p),Broadcast,Roar.us@SD,1,https://fast-channels.sinclairstoryline.com/TBD/index.m3u8
27,Bounce XL (1080p),Broadcast,BounceXL.us@SD,1,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-bouncexl-tablo/playlist.m3u8
28,Grit Xtra (1080p),Broadcast,GritXtra.us@SD,1,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-gritxtra-tablo/playlist.m3u8
29,CBS News New York (720p),Local News,CBSNewsNewYork.us@SD,1,https://cbsn-ny.cbsnstream.cbsnews.com/out/v1/ec3897d58a9b45129a77d67aa247d136/master.m3u8
30,News 12 New York (1080p),Local News,News12NewYork.us@SD,1,https://aegis-cloudfront-1.tubi.video/97fbb992-c212-4164-8406-abb6f731e517/playlist.m3u8
31,News12 Bronx [Geo-blocked],Local News,News12Bronx.us@SD,1,https://mdc.ott.alticeusa.net/live4.ott.optimum.net/live4-uploads/N12XH_A1/index_new.m3u8?omap=https
32,News12 Brooklyn [Geo-blocked],Local News,News12Brooklyn.us@SD,1,https://mdc.ott.alticeusa.net/live4.ott.optimum.net/live4-uploads/N12KH_A1/index_new.m3u8?omap=https
33,News12 Westchester [Geo-blocked],Local News,News12Westchester.us@SD,1,https://mdc.ott.alticeusa.net/live4.ott.optimum.net/live4-uploads/N12WH_A1/index_new.m3u8?omap=https
34,News12+ New York (1080p) [Geo-blocked],Local News,News12PlusNewYork.us@HD,1,https://mdc.ott.alticeusa.net/live4.ott.optimum.net/live4-uploads/N12PLUS_H_NYC_A1/index_new.m3u8
